id,course_id,course_code,campus,period,date,start_time,end_time,duration,sections/0/lecture_code,sections/0/exam_section,sections/0/location,sections/1/lecture_code,sections/1/exam_section,sections/1/location,sections/2/lecture_code,sections/2/exam_section,sections/2/location,sections/3/lecture_code,sections/3/exam_section,sections/3/location,sections/4/lecture_code,sections/4/exam_section,sections/4/location,sections/5/lecture_code,sections/5/exam_section,sections/5/location,sections/6/lecture_code,sections/6/exam_section,sections/6/location,sections/7/lecture_code,sections/7/exam_section,sections/7/location,sections/8/lecture_code,sections/8/exam_section,sections/8/location,sections/9/lecture_code,sections/9/exam_section,sections/9/location,sections/10/lecture_code,sections/10/exam_section,sections/10/location,sections/11/lecture_code,sections/11/exam_section,sections/11/location,sections/12/lecture_code,sections/12/exam_section,sections/12/location,sections/13/lecture_code,sections/13/exam_section,sections/13/location,sections/14/lecture_code,sections/14/exam_section,sections/14/location,sections/15/lecture_code,sections/15/exam_section,sections/15/location,sections/16/lecture_code,sections/16/exam_section,sections/16/location,sections/17/lecture_code,sections/17/exam_section,sections/17/location,sections/18/lecture_code,sections/18/exam_section,sections/18/location,sections/19/lecture_code,sections/19/exam_section,sections/19/location,sections/20/lecture_code,sections/20/exam_section,sections/20/location,sections/21/lecture_code,sections/21/exam_section,sections/21/location,sections/22/lecture_code,sections/22/exam_section,sections/22/location,sections/23/lecture_code,sections/23/exam_section,sections/23/location
ANTC68H3Y20165AUG16,ANTC68H3Y20165,ANTC68H3Y,UTSC,AUG16,2016-08-08,32400,39600,7200,LEC01,,SW319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APM236H1F20159DEC15,APM236H1F20159,APM236H1F,UTSG,DEC15,2015-12-18,50400,61200,10800,,,EX 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APM236H1S20161APR16,APM236H1S20161,APM236H1S,UTSG,APR16,2016-04-13,50400,61200,10800,,,ES 1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APM346H1F20159DEC15,APM346H1F20159,APM346H1F,UTSG,DEC15,2015-12-18,68400,79200,10800,L0101,A - C,SF 3201,L0101,D - Z,SF 3202,L5101,,SF 3201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APM346H1S20161APR16,APM346H1S20161,APM346H1S,UTSG,APR16,2016-04-25,32400,43200,10800,,,MS 2158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APM351Y1Y20159APR16,APM351Y1Y20159,APM351Y1Y,UTSG,APR16,2016-04-20,32400,43200,10800,,,NR 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APM461H1S20161APR16,APM461H1S20161,APM461H1S,UTSG,APR16,2016-04-12,32400,43200,10800,,,BN 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APM462H1S20161APR16,APM462H1S20161,APM462H1S,UTSG,APR16,2016-04-22,50400,61200,10800,,,MS 2158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APM462H1Y20165AUG16,APM462H1Y20165,APM462H1Y,UTSG,AUG16,2016-08-15,68400,79200,10800,,,SF 3202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APS104H1S20161APR16,APS104H1S20161,APS104H1S,UTSG,APR16,2016-04-25,50400,59400,9000,,A - CI,GB 304,,CO - JI,GB 404,,JO - MAH,GB 405,,MAO - Q,HA 316,,R - SUD,HA 401,,SUN - Y,HA 403,,Z - Z,HA 410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APS105H1S20161APR16,APS105H1S20161,APS105H1S,UTSG,APR16,2016-04-14,50400,59400,9000,,A - Z,ZZ APSCComputerLab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APS106H1S20161APR16,APS106H1S20161,APS106H1S,UTSG,APR16,2016-04-22,34200,43200,9000,,A - LA,BN 2N,,LE - T,BN 2S,,U - Z,BN 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APS111H1S20161APR16,APS111H1S20161,APS111H1S,UTSG,APR16,2016-04-26,34200,43200,9000,,A - Z,BA 2139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APS305H1S20161APR16,APS305H1S20161,APS305H1S,UTSG,APR16,2016-04-27,50400,59400,9000,,A - NA,BA 2145,,NO - Z,BA 2155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APS321H1S20161APR16,APS321H1S20161,APS321H1S,UTSG,APR16,2016-04-25,34200,43200,9000,,A - Z,SF 3202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APS343H1S20161APR16,APS343H1S20161,APS343H1S,UTSG,APR16,2016-04-15,34200,43200,9000,,A - Z,BA 2145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APS420H1S20161APR16,APS420H1S20161,APS420H1S,UTSG,APR16,2016-04-25,50400,59400,9000,,A - Z,BA 2195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APS432H1S20161APR16,APS432H1S20161,APS432H1S,UTSG,APR16,2016-04-13,50400,59400,9000,,A - Z,BA 2159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APS446H1S20161APR16,APS446H1S20161,APS446H1S,UTSG,APR16,2016-04-27,50400,59400,9000,,A - Z,BA 3012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
